City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Laguna,US,82.45400000000006,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
2,Butaritari,KI,82.79600000000005,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
4,Ordubad,AZ,77.91800000000009,clear sky,38.9059,46.0234,Ordubad Oteli
7,Marsh Harbour,BS,79.64600000000004,few clouds,26.5412,-77.0636,Abaco Beach Resort
11,Tomatlan,MX,78.80000000000001,overcast clouds,19.9333,-105.25,El Salvial
12,Alice Town,BS,82.07600000000009,moderate rain,25.7167,-79.3,Bimini Big Game Club Resort & Marina
13,Hithadhoo,MV,83.3180000000001,scattered clouds,-0.6,73.0833,Scoop Guest House
18,Miramar,US,82.41800000000009,light rain,25.9873,-80.2323,Stadium Hotel
22,Vaini,TO,77.16200000000006,few clouds,-21.2,-175.2,Keleti Beach Resort
30,Bengkulu,ID,83.89400000000008,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
32,Bilma,NE,86.234,clear sky,18.6853,12.9164,Expeditions Ténére voyages
35,Bathsheba,BB,79.41200000000006,scattered clouds,13.2167,-59.5167,Atlantis Hotel
36,Nara,JP,76.37000000000006,heavy intensity rain,34.6851,135.8049,Guesthouse Nara Komachi
37,Kahului,US,80.61800000000008,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
39,Jaisalmer,IN,89.708,broken clouds,26.9147,70.9181,Hotel Fifu
46,Xichang,CN,80.834,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
47,Hilo,US,80.33000000000004,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
52,Deqing,CN,89.69000000000003,broken clouds,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
53,Zmeinogorsk,RU,76.44200000000001,overcast clouds,51.1567,82.195,"Kompastur, Gostinitsa"
54,Kapaa,US,82.38200000000002,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Cefalu,IT,75.542,clear sky,38.0386,14.0229,Hotel La Giara
67,Hasaki,JP,82.79600000000005,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
84,Atar,MR,77.36000000000008,broken clouds,20.5169,-13.0499,Oumou Elghoura
87,Georgetown,MY,85.892,scattered clouds,5.4112,100.3354,Cititel Penang
88,Kerman,IR,80.45600000000003,clear sky,30.2832,57.0788,هتل آپارتمان آسام
89,Kulhudhuffushi,MV,82.86800000000008,overcast clouds,6.6221,73.07,Haajy Guest House 1
94,Tautira,PF,79.44800000000004,scattered clouds,-17.7333,-149.15,Pension Oaoa
97,Wadi Maliz,TN,78.13399999999999,clear sky,36.4681,8.5495,Heremony
99,Cabo San Lucas,MX,81.69800000000004,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
102,Faanui,PF,79.7,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Kavieng,PG,84.84800000000003,broken clouds,-2.5744,150.7967,Nusa Island Retreat
116,Victoria,HK,87.85400000000006,overcast clouds,22.2855,114.1577,Mini Central
118,Wajima,JP,83.084,broken clouds,37.4,136.9,Wajiima Onsen Yashio
120,Jian,CN,75.434,overcast clouds,27.1172,114.9793,Luling International Hotel
122,Carnarvon,AU,75.66800000000009,clear sky,-24.8667,113.6333,Hospitality Carnarvon
126,Saryagash,KZ,75.16400000000004,overcast clouds,41.4511,69.1701,fatyCentre Paradise
129,Saint George,US,82.99400000000009,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
130,Phuket,TH,86.09000000000003,light rain,8.0,98.25,The Surin
136,Nishihara,JP,87.458,scattered clouds,26.1842,127.7558,Minshuku Agaihama
141,Port Blair,IN,85.22600000000008,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
143,Alofi,NU,80.49199999999999,overcast clouds,-19.0595,-169.9187,Taloa Heights
150,Malanville,BJ,78.87200000000004,broken clouds,11.8685,3.3899,Hotel Sejour du Sahel
153,Alexandria,EG,76.1,clear sky,31.2156,29.9553,Royal Crown Hotel
159,Dinghai,CN,79.71800000000009,overcast clouds,26.2847,119.7936,Shanhai Hotel
165,Makakilo City,US,79.12400000000002,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
175,Tieling,CN,84.47000000000006,overcast clouds,42.2931,123.8414,Tieling 99 Yuejia Business Guest House
177,Kota Kinabalu,MY,82.38200000000002,thunderstorm,5.9749,116.0724,Gaya Centre Hotel
178,La Asuncion,VE,78.53000000000004,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
183,Kavaratti,IN,83.04800000000003,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
185,Avarua,CK,80.65400000000005,few clouds,-21.2078,-159.775,Paradise Inn
186,Davila,PH,89.58200000000002,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
188,Ayagoz,KZ,88.30400000000006,few clouds,47.9714,80.4392,ХАН
189,Turukhansk,RU,82.00400000000005,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
191,Rajanpur,PK,84.68600000000006,broken clouds,29.1035,70.325,Style Inn Shoes Rajanpur
193,Urumqi,CN,86.95400000000006,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
194,Sant Pere De Ribes,ES,76.49600000000005,broken clouds,41.2667,1.7667,Dolce Sitges Barcelona
195,Atuona,PF,77.91800000000009,few clouds,-9.8,-139.0333,Villa Enata
196,Samarai,PG,80.74400000000009,overcast clouds,-10.6167,150.6667,Nuli Sapi
204,Rockport,US,86.05400000000006,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
205,Porto Novo,BJ,78.62000000000006,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
208,Yankton,US,80.11400000000003,broken clouds,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
221,Ugoofaaru,MV,83.4260000000001,overcast clouds,5.6667,73.0,Ungoofaaru Inn
223,Krasnoselkup,RU,81.66200000000006,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
226,Cayenne,GF,76.08200000000002,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
229,Jiangyou,CN,88.05200000000008,broken clouds,31.7667,104.7167,Shangping Shuyuan Inn
232,Wanning,CN,88.808,overcast clouds,18.8003,110.3967,Paradise Hotel
239,Stephenville,US,87.8180000000001,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
240,Coahuayana,MX,79.79000000000002,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
244,Nabire,ID,84.39800000000002,broken clouds,-3.3667,135.4833,Hotel Nusantara I
249,Karratha,AU,82.292,clear sky,-20.7377,116.8463,ibis Styles Karratha
252,Astana,KZ,78.74600000000005,few clouds,51.1801,71.446,King Hotel Astana
253,Oyama,JP,88.592,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
255,Tongren,CN,87.0260000000001,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
256,Urengoy,RU,81.24800000000002,scattered clouds,65.9667,78.3667,Gostinnitsa Medveditsa
259,Namatanai,PG,83.67800000000007,light rain,-3.6667,152.4333,Seagulls Inn Namatani
263,Tsagan Aman,RU,84.45200000000008,clear sky,47.5639,46.7218,Tirupathi
265,The Valley,AI,81.10400000000006,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
266,Okara,PK,86.52200000000005,broken clouds,30.8081,73.4458,Ali mobile al aziz palaza Shop #6 Venus chows Okara
267,Indramayu,ID,83.26400000000004,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
268,Balabac,PH,85.96400000000003,broken clouds,7.9868,117.0645,Batalla’s Lodging House
271,Marawi,PH,75.05600000000004,overcast clouds,7.9986,124.2928,Derogongan Residence
272,Diffa,NE,83.80400000000006,overcast clouds,13.3154,12.6113,ProDAF/Diffa
273,San Patricio,US,85.892,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
274,Bubaque,GW,79.82600000000009,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
276,Veshenskaya,RU,75.45200000000008,clear sky,49.6303,41.7334,Kazachiy Kuren'. Muzey Sholokhova
277,Dangriga,BZ,80.72600000000008,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
282,Maragogi,BR,75.36200000000005,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
