City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Laguna,US,2022-06-21 04:36:30,38.421,-121.4238,82.45400000000006,33,0,1.54,clear sky
1,Busselton,AU,2022-06-21 04:36:31,-33.65,115.3333,64.76000000000008,72,100,6.52,overcast clouds
2,Butaritari,KI,2022-06-21 04:36:31,3.0707,172.7902,82.79600000000005,70,25,5.8,scattered clouds
3,Ushuaia,AR,2022-06-21 04:31:49,-54.8,-68.3,35.258,80,75,12.86,broken clouds
4,Ordubad,AZ,2022-06-21 04:36:32,38.9059,46.0234,77.91800000000009,54,0,3.58,clear sky
5,Esperance,AU,2022-06-21 04:36:33,-33.8667,121.9,65.46200000000006,60,51,4.46,broken clouds
6,Punta Arenas,CL,2022-06-21 04:36:33,-53.15,-70.9167,33.81800000000008,80,20,3.09,few clouds
7,Marsh Harbour,BS,2022-06-21 04:36:34,26.5412,-77.0636,79.64600000000004,71,16,5.26,few clouds
8,Port Alfred,ZA,2022-06-21 04:36:35,-33.5906,26.891,58.17200000000004,87,11,6.09,few clouds
9,Isangel,VU,2022-06-21 04:36:35,-19.55,169.2667,73.07600000000009,61,10,4.63,clear sky
10,Oranjemund,NA,2022-06-21 04:36:36,-28.55,16.4333,52.736000000000075,78,55,0.43,broken clouds
11,Tomatlan,MX,2022-06-21 04:36:36,19.9333,-105.25,78.80000000000001,87,88,0.45,overcast clouds
12,Alice Town,BS,2022-06-21 04:36:37,25.7167,-79.3,82.07600000000009,72,70,6.18,moderate rain
13,Hithadhoo,MV,2022-06-21 04:36:38,-0.6,73.0833,83.3180000000001,72,49,5.79,scattered clouds
14,Castro,BR,2022-06-21 04:36:38,-24.7911,-50.0119,55.99400000000007,94,89,1.32,overcast clouds
15,Tambura,SS,2022-06-21 04:36:39,5.6,27.4667,66.83000000000004,94,95,0.72,overcast clouds
16,Montrose,US,2022-06-21 04:36:39,38.4166,-108.2673,53.16800000000009,23,0,0.51,clear sky
